ticker,shares,avg_cost,bdd_type,sector,notes
SCHD,300.485687,30.9534,grounder,ETF - Dividend Equity,Dividend/value ETF; income and ballast
VOO,11.1565221,594.0462,engine,ETF - Broad Market,Core S&P 500 compounding sleeve
GOOGL,10.6384989,293.2848,engine,Communication Services,"Digital ads, search, and AI platform"
NVDA,16.0445015,178.6033,builder,Information Technology,AI compute leader; secular growth
MSFT,7.6653894,372.7031,engine,Information Technology,Cloud + AI platform compounder
V,8.4381056,305.0489,engine,Financials,Payment network monopoly
VXUS,30.7059659,77.1081,grounder,ETF - International Equity,International diversification ballast
AMZN,6.3839498,234.8226,engine,Consumer Discretionary,AWS + retail flywheel
BRK.B,3.4248561,477.8182,grounder,Financials,Diversified compounder; Buffett capital allocation
META,2.4551176,544.8611,engine,Communication Services,Social media + AI ads platform
COST,1.5188085,961.4803,engine,Consumer Staples,Membership moat; loyal customer base
JPM,7.0044694,224.6283,grounder,Financials,Best-in-class bank; diversified revenue
TSM,8.5534626,174.6985,builder,Information Technology,Global chip manufacturing monopoly
AAPL,4.2614889,214.0734,engine,Information Technology,Consumer ecosystem + services flywheel
UNH,1.0765022,499.3543,grounder,Healthcare,Managed care + Optum vertical integration
LLY,0.5918406,744.4441,builder,Healthcare,GLP-1 obesity drug platform
BRKR,6.4013988,50.6736,builder,Healthcare,Scientific instruments; life sciences
HD,1.9316987,361.6014,grounder,Consumer Discretionary,Home improvement duopoly
MELI,0.7044406,1961.5296,builder,Consumer Discretionary,LatAm e-commerce + fintech leader
PANW,3.5699768,166.6739,builder,Information Technology,Cybersecurity platform consolidator
SE,11.6640919,86.3869,moonshot,Consumer Discretionary,SEA digital economy; gaming + ecomm
GRAB,274.1462916,3.2855,moonshot,Consumer Discretionary,SEA super-app; ride-hail + delivery
ACMR,19.4527847,25.6583,moonshot,Information Technology,Semiconductor equipment; China exposure
GOOG,2.2552025,192.2014,engine,Communication Services,Google class C; same thesis as GOOGL
TSLA,1.3787888,291.9047,builder,Consumer Discretionary,EV + energy + autonomy optionality
CRWD,1.3185024,351.6939,builder,Information Technology,Cloud-native cybersecurity leader
SOFI,72.9533044,9.4299,builder,Financials,Digital banking challenger
NVO,3.3498312,75.3731,builder,Healthcare,GLP-1 pioneer; Ozempic/Wegovy
VZ,32.5413773,38.2219,grounder,Communication Services,Telecom income; dividend yield play
O,14.7217867,53.3271,grounder,Real Estate,Monthly dividend REIT compounder
ASML,0.2994004,668.4074,builder,Information Technology,Lithography monopoly; EUV machines
AMD,4.1804261,108.2248,builder,Information Technology,CPU/GPU challenger to Intel + Nvidia
PM,8.7174088,125.9706,grounder,Consumer Staples,Smoke-free pivot; IQOS growth
MCD,2.2280979,274.9756,grounder,Consumer Staples,Franchise model; global scale
ABBV,2.2672266,184.0839,grounder,Healthcare,Immunology + aesthetics post-Humira
BABA,7.2028671,96.4226,moonshot,Consumer Discretionary,China e-commerce; deep value bet
MA,1.7524093,540.7521,engine,Financials,Global payment network duopoly
SHOP,8.5826163,112.6754,builder,Consumer Discretionary,Commerce OS for SMBs + enterprise
PLD,8.5553498,105.2745,grounder,Real Estate,Industrial REIT; e-commerce logistics
SCHG,6.2735049,115.2,engine,ETF - Growth,Large-cap growth ETF; US tech tilt
